timestamp,fecha,hora,dia_semana,franja_horaria,par,estrategia,direccion,resultado,monto,ganancia,balance,racha_perdidas_momento
2026-07-20 08:19:00,2026-07-20,08:19:00,lunes,08:00-08:59,AUDCAD-OTC,reversion_bb,BUY,loss,2.0,-2.0,248.0,1
2026-07-20 08:26:00,2026-07-20,08:26:00,lunes,08:00-08:59,AUDCAD-OTC,reversion_bb,BUY,loss,4.4,-4.4,243.6,2
2026-07-20 08:42:00,2026-07-20,08:42:00,lunes,08:00-08:59,USDJPY-OTC,tendencia_rsi,BUY,loss,2.0,-2.0,241.6,1
2026-07-20 09:03:00,2026-07-20,09:03:00,lunes,09:00-09:59,EURJPY-OTC,reversion_bb,BUY,loss,2.0,-2.0,239.6,1
2026-07-20 09:24:00,2026-07-20,09:24:00,lunes,09:00-09:59,EURUSD-OTC,patron_velas,BUY,win,2.0,1.74,241.34,0
2026-07-20 09:45:00,2026-07-20,09:45:00,lunes,09:00-09:59,EURUSD-OTC,reversion_bb,BUY,win,2.0,1.74,243.08,0
2026-07-20 10:03:00,2026-07-20,10:03:00,lunes,10:00-10:59,GBPUSD-OTC,patron_velas,BUY,win,2.0,1.7,244.78,0
2026-07-20 10:19:00,2026-07-20,10:19:00,lunes,10:00-10:59,USDJPY-OTC,reversion_bb,BUY,loss,4.4,-4.4,240.38,2
2026-07-20 10:43:00,2026-07-20,10:43:00,lunes,10:00-10:59,USDJPY-OTC,reversion_bb,BUY,win,9.68,7.94,248.32,0
2026-07-20 10:47:00,2026-07-20,10:47:00,lunes,10:00-10:59,AUDCAD-OTC,tendencia_rsi,SELL,loss,9.68,-9.68,238.64,0
2026-07-20 10:51:00,2026-07-20,10:51:00,lunes,10:00-10:59,EURUSD-OTC,patron_velas,BUY,desconocido,2.0,0.0,238.64,0
2026-07-20 10:54:00,2026-07-20,10:54:00,lunes,10:00-10:59,EURJPY-OTC,reversion_bb,BUY,win,4.4,3.52,242.16,0
2026-07-20 11:14:00,2026-07-20,11:14:00,lunes,11:00-11:59,GBPUSD-OTC,patron_velas,SELL,win,2.0,1.7,243.86,0
2026-07-20 11:16:00,2026-07-20,11:16:00,lunes,11:00-11:59,EURJPY-OTC,tendencia_rsi,BUY,loss,2.0,-2.0,241.86,1
2026-07-20 11:19:00,2026-07-20,11:19:00,lunes,11:00-11:59,EURJPY-OTC,reversion_bb,SELL,loss,4.4,-4.4,237.46,2
2026-07-20 11:37:00,2026-07-20,11:37:00,lunes,11:00-11:59,GBPUSD-OTC,patron_velas,SELL,win,2.0,1.7,239.16,0
2026-07-20 11:42:00,2026-07-20,11:42:00,lunes,11:00-11:59,EURJPY-OTC,reversion_bb,SELL,win,9.68,7.74,246.9,0
2026-07-20 11:44:00,2026-07-20,11:44:00,lunes,11:00-11:59,GBPUSD-OTC,tendencia_rsi,BUY,loss,2.0,-2.0,244.9,1
2026-07-20 11:47:00,2026-07-20,11:47:00,lunes,11:00-11:59,GBPUSD-OTC,tendencia_rsi,SELL,win,4.4,3.74,248.64,0
2026-07-20 11:58:00,2026-07-20,11:58:00,lunes,11:00-11:59,EURJPY-OTC,tendencia_rsi,BUY,win,2.0,1.6,250.24,0
2026-07-20 12:00:00,2026-07-20,12:00:00,lunes,12:00-12:59,AUDCAD-OTC,reversion_bb,SELL,win,2.0,1.58,251.82,0
2026-07-20 12:20:00,2026-07-20,12:20:00,lunes,12:00-12:59,GBPUSD-OTC,reversion_bb,BUY,win,2.0,1.7,253.52,0
2026-07-20 12:41:00,2026-07-20,12:41:00,lunes,12:00-12:59,GBPUSD-OTC,patron_velas,BUY,loss,2.0,-2.0,251.52,1
