fecha,simbolo,lado,cantidad,precio,comision
2026-07-01 01:47:00,ETHUSDT,buy,0.42,3391.56,0.5698
2026-07-01 03:33:00,ETHUSDT,sell,0.42,3404.5,0.572
2026-07-01 07:15:00,ETHUSDT,buy,0.067,3429.27,0.0919
2026-07-01 08:20:00,ETHUSDT,buy,0.077,3431.81,0.1057
2026-07-01 10:44:00,BTCUSDT,buy,0.078,60450.03,1.886
2026-07-01 13:07:00,BTCUSDT,buy,0.18,61594.58,4.4348
2026-07-01 14:37:00,SOLUSDT,buy,0.357,143.32,0.0205
2026-07-01 14:49:00,ETHUSDT,sell,0.067,3451.86,0.0925
2026-07-01 15:44:00,BTCUSDT,sell,0.18,62108.69,4.4718
2026-07-01 16:32:00,SOLUSDT,sell,0.357,142.59,0.0204
2026-07-01 17:40:00,BTCUSDT,sell,0.078,59838.73,1.867
2026-07-01 18:09:00,ETHUSDT,sell,0.077,3488.99,0.1075
2026-07-01 19:59:00,SOLUSDT,buy,0.296,142.43,0.0169
2026-07-01 20:59:00,SOLUSDT,buy,0.289,141.21,0.0163
2026-07-01 21:13:00,SOLUSDT,sell,0.296,141.38,0.0167
2026-07-02 02:28:00,ETHUSDT,buy,0.162,3460.63,0.2242
2026-07-02 02:30:00,SOLUSDT,sell,0.289,140.07,0.0162
2026-07-02 05:02:00,SOLUSDT,buy,0.273,142.25,0.0155
2026-07-02 05:42:00,ETHUSDT,sell,0.162,3447.62,0.2234
2026-07-02 09:21:00,SOLUSDT,buy,0.103,141.31,0.0058
2026-07-02 11:03:00,SOLUSDT,sell,0.273,143.17,0.0156
2026-07-02 12:46:00,BTCUSDT,buy,0.068,62006.86,1.6866
2026-07-02 14:15:00,BTCUSDT,sell,0.068,62803.65,1.7083
2026-07-02 16:39:00,SOLUSDT,sell,0.103,146.13,0.006
2026-07-02 18:09:00,SOLUSDT,buy,0.203,141.94,0.0115
2026-07-02 22:53:00,SOLUSDT,buy,0.428,140.57,0.0241
2026-07-03 00:17:00,SOLUSDT,sell,0.203,139.1,0.0113
2026-07-03 03:39:00,SOLUSDT,sell,0.428,139.88,0.0239
2026-07-03 05:19:00,ETHUSDT,buy,0.366,3454.35,0.5057
2026-07-03 11:55:00,ETHUSDT,buy,0.06,3415.66,0.082
2026-07-03 13:05:00,ETHUSDT,sell,0.366,3446.94,0.5046
2026-07-03 13:51:00,ETHUSDT,buy,0.148,3385.11,0.2004
2026-07-03 16:27:00,BTCUSDT,buy,0.273,60898.96,6.6502
2026-07-03 18:55:00,ETHUSDT,sell,0.148,3359.76,0.1989
2026-07-03 19:27:00,BTCUSDT,sell,0.273,61965.58,6.7666
2026-07-03 19:57:00,ETHUSDT,sell,0.06,3460.85,0.0831
2026-07-03 20:22:00,ETHUSDT,buy,0.419,3318.29,0.5561
2026-07-04 02:53:00,ETHUSDT,buy,0.448,3291.33,0.5898
2026-07-04 04:05:00,BTCUSDT,buy,0.155,61096.8,3.788
2026-07-04 05:55:00,ETHUSDT,sell,0.419,3298.03,0.5528
2026-07-04 06:08:00,SOLUSDT,buy,0.239,140.56,0.0134
2026-07-04 06:59:00,ETHUSDT,sell,0.448,3315.16,0.5941
2026-07-04 11:27:00,SOLUSDT,buy,0.437,140.26,0.0245
2026-07-04 12:31:00,BTCUSDT,sell,0.155,61664.88,3.8232
2026-07-04 12:32:00,SOLUSDT,sell,0.437,141.26,0.0247
2026-07-04 12:36:00,SOLUSDT,sell,0.239,140.92,0.0135
2026-07-04 17:45:00,ETHUSDT,buy,0.23,3301.07,0.3037
2026-07-04 19:41:00,ETHUSDT,sell,0.23,3268.25,0.3007
2026-07-04 23:39:00,ETHUSDT,buy,0.493,3283.66,0.6475
2026-07-05 01:05:00,BTCUSDT,buy,0.05,60989.15,1.2198
2026-07-05 02:26:00,SOLUSDT,buy,0.082,142.09,0.0047
2026-07-05 03:49:00,BTCUSDT,sell,0.05,61283.68,1.2257
2026-07-05 06:08:00,SOLUSDT,sell,0.082,141.56,0.0046
2026-07-05 06:08:00,SOLUSDT,buy,0.206,142.74,0.0118
2026-07-05 07:20:00,ETHUSDT,sell,0.493,3303.59,0.6515
2026-07-05 07:40:00,ETHUSDT,buy,0.49,3312.11,0.6492
2026-07-05 10:49:00,ETHUSDT,buy,0.204,3325.3,0.2713
2026-07-05 12:30:00,SOLUSDT,sell,0.206,144.0,0.0119
2026-07-05 15:30:00,ETHUSDT,sell,0.204,3339.81,0.2725
2026-07-05 16:01:00,ETHUSDT,sell,0.49,3347.57,0.6561
2026-07-05 17:13:00,ETHUSDT,buy,0.478,3329.1,0.6365
2026-07-05 18:58:00,ETHUSDT,buy,0.391,3301.97,0.5164
2026-07-05 20:14:00,SOLUSDT,buy,0.215,142.37,0.0122
2026-07-05 22:38:00,ETHUSDT,buy,0.198,3245.79,0.2571
2026-07-05 23:15:00,SOLUSDT,sell,0.215,141.33,0.0122
2026-07-06 00:13:00,ETHUSDT,sell,0.391,3225.28,0.5044
2026-07-06 00:47:00,SOLUSDT,buy,0.383,143.28,0.0219
2026-07-06 02:23:00,ETHUSDT,sell,0.478,3341.43,0.6389
2026-07-06 02:36:00,ETHUSDT,sell,0.198,3236.9,0.2564
2026-07-06 04:49:00,SOLUSDT,sell,0.383,140.51,0.0215
2026-07-06 05:42:00,BTCUSDT,buy,0.495,60001.82,11.8804
2026-07-06 08:24:00,ETHUSDT,buy,0.205,3261.14,0.2674
2026-07-06 09:35:00,ETHUSDT,buy,0.139,3265.45,0.1816
2026-07-06 10:38:00,BTCUSDT,sell,0.495,60144.72,11.9087
2026-07-06 13:14:00,ETHUSDT,sell,0.139,3297.98,0.1834
2026-07-06 14:31:00,ETHUSDT,sell,0.205,3316.07,0.2719
2026-07-06 15:24:00,ETHUSDT,buy,0.051,3310.09,0.0675
2026-07-06 16:37:00,SOLUSDT,buy,0.225,143.64,0.0129
2026-07-06 18:38:00,ETHUSDT,buy,0.089,3267.03,0.1163
2026-07-06 20:11:00,SOLUSDT,sell,0.225,143.11,0.0129
2026-07-06 21:26:00,ETHUSDT,sell,0.051,3310.01,0.0675
2026-07-06 22:33:00,ETHUSDT,buy,0.121,3266.46,0.1581
2026-07-07 00:20:00,BTCUSDT,buy,0.345,59436.73,8.2023
2026-07-07 00:53:00,ETHUSDT,sell,0.121,3254.86,0.1575
2026-07-07 01:33:00,ETHUSDT,sell,0.089,3294.41,0.1173
2026-07-07 03:49:00,SOLUSDT,buy,0.06,144.65,0.0035
2026-07-07 05:30:00,SOLUSDT,buy,0.422,141.97,0.024
2026-07-07 05:44:00,SOLUSDT,sell,0.06,146.69,0.0035
2026-07-07 08:08:00,BTCUSDT,buy,0.394,59599.18,9.3928
2026-07-07 08:35:00,BTCUSDT,sell,0.345,59094.78,8.1551
2026-07-07 09:16:00,SOLUSDT,sell,0.422,143.58,0.0242
2026-07-07 13:16:00,ETHUSDT,buy,0.46,3251.34,0.5982
2026-07-07 13:51:00,BTCUSDT,sell,0.394,60509.1,9.5362
2026-07-07 19:25:00,ETHUSDT,buy,0.239,3190.34,0.305
2026-07-07 19:28:00,ETHUSDT,sell,0.46,3266.29,0.601
2026-07-08 00:27:00,BTCUSDT,buy,0.443,60011.26,10.634
2026-07-08 00:59:00,SOLUSDT,buy,0.114,142.1,0.0065
2026-07-08 02:00:00,SOLUSDT,buy,0.3,141.31,0.017
2026-07-08 02:59:00,SOLUSDT,buy,0.398,141.32,0.0225
2026-07-08 03:12:00,SOLUSDT,sell,0.114,141.36,0.0064
2026-07-08 03:44:00,BTCUSDT,sell,0.443,60803.5,10.7744
2026-07-08 03:58:00,SOLUSDT,sell,0.3,143.35,0.0172
2026-07-08 04:08:00,ETHUSDT,sell,0.239,3153.65,0.3015
2026-07-08 08:16:00,ETHUSDT,buy,0.079,3256.9,0.1029
2026-07-08 11:48:00,SOLUSDT,sell,0.398,142.9,0.0227
2026-07-08 13:04:00,SOLUSDT,buy,0.175,140.58,0.0098
2026-07-08 13:59:00,ETHUSDT,sell,0.079,3276.21,0.1035
2026-07-08 17:38:00,SOLUSDT,buy,0.285,139.52,0.0159
2026-07-08 19:51:00,SOLUSDT,buy,0.105,139.93,0.0059
2026-07-08 20:58:00,ETHUSDT,buy,0.146,3240.53,0.1892
2026-07-08 21:54:00,SOLUSDT,sell,0.175,140.1,0.0098
2026-07-08 22:13:00,SOLUSDT,sell,0.285,139.67,0.0159
2026-07-08 22:47:00,BTCUSDT,buy,0.215,60811.61,5.2298
2026-07-09 02:18:00,ETHUSDT,sell,0.146,3209.21,0.1874
2026-07-09 03:16:00,BTCUSDT,sell,0.215,60513.99,5.2042
2026-07-09 03:16:00,BTCUSDT,buy,0.229,61096.73,5.5965
2026-07-09 03:33:00,SOLUSDT,sell,0.105,139.37,0.0059
2026-07-09 09:27:00,BTCUSDT,buy,0.244,61276.27,5.9806
2026-07-09 11:44:00,BTCUSDT,sell,0.229,62965.35,5.7676
2026-07-09 12:50:00,ETHUSDT,buy,0.091,3213.74,0.117
2026-07-09 16:13:00,BTCUSDT,buy,0.058,60653.66,1.4072
2026-07-09 18:24:00,BTCUSDT,sell,0.244,60989.05,5.9525
2026-07-09 19:14:00,ETHUSDT,sell,0.091,3235.76,0.1178
2026-07-09 22:02:00,BTCUSDT,sell,0.058,60483.36,1.4032
2026-07-09 22:02:00,SOLUSDT,buy,0.101,138.93,0.0056
2026-07-09 23:15:00,BTCUSDT,buy,0.401,60636.82,9.7261
2026-07-10 02:06:00,SOLUSDT,sell,0.101,143.21,0.0058
2026-07-10 03:21:00,BTCUSDT,buy,0.476,61169.99,11.6468
2026-07-10 04:01:00,BTCUSDT,sell,0.401,60933.61,9.7738
2026-07-10 08:25:00,BTCUSDT,buy,0.365,61864.98,9.0323
2026-07-10 09:24:00,ETHUSDT,buy,0.453,3220.01,0.5835
2026-07-10 10:06:00,BTCUSDT,sell,0.365,61488.35,8.9773
2026-07-10 10:26:00,BTCUSDT,sell,0.476,60368.54,11.4942
2026-07-10 14:09:00,ETHUSDT,sell,0.453,3201.44,0.5801
2026-07-10 15:18:00,BTCUSDT,buy,0.324,62273.14,8.0706
2026-07-10 18:03:00,BTCUSDT,buy,0.203,62718.81,5.0928
2026-07-10 19:15:00,BTCUSDT,sell,0.324,62673.23,8.1225
2026-07-10 20:50:00,ETHUSDT,buy,0.369,3213.11,0.4743
2026-07-10 22:52:00,ETHUSDT,sell,0.369,3209.99,0.4738
2026-07-10 23:34:00,BTCUSDT,buy,0.19,63118.96,4.797
2026-07-11 01:49:00,SOLUSDT,buy,0.13,138.52,0.0072
2026-07-11 03:39:00,BTCUSDT,sell,0.203,62184.43,5.0494
2026-07-11 04:27:00,BTCUSDT,buy,0.278,63237.45,7.032
2026-07-11 04:56:00,BTCUSDT,sell,0.19,63371.92,4.8163
2026-07-11 07:51:00,BTCUSDT,sell,0.278,63365.98,7.0463
2026-07-11 07:54:00,SOLUSDT,sell,0.13,140.62,0.0073
2026-07-11 09:00:00,SOLUSDT,buy,0.346,138.56,0.0192
2026-07-11 13:43:00,SOLUSDT,buy,0.487,135.78,0.0264
2026-07-11 16:03:00,SOLUSDT,buy,0.425,137.01,0.0233
2026-07-11 16:32:00,SOLUSDT,sell,0.346,140.58,0.0195
2026-07-11 18:36:00,SOLUSDT,sell,0.425,137.05,0.0233
2026-07-11 19:08:00,SOLUSDT,sell,0.487,135.01,0.0263
2026-07-11 19:30:00,ETHUSDT,buy,0.056,3273.91,0.0733
2026-07-11 21:23:00,ETHUSDT,buy,0.221,3319.44,0.2934
2026-07-12 00:01:00,ETHUSDT,sell,0.056,3270.32,0.0733
2026-07-12 00:17:00,SOLUSDT,buy,0.07,135.3,0.0038
2026-07-12 03:04:00,BTCUSDT,buy,0.483,62771.51,12.1275
2026-07-12 03:36:00,SOLUSDT,sell,0.07,134.05,0.0038
